Run,Well,Vial
10,E12,NA
10,F1,NA
10,F2,NA
10,F3,NA
10,F4,NA
10,F5,NA
10,F6,NA
10,F7,NA
10,F8,NA
10,F9,NA
10,F10,NA
10,F11,NA
10,F12,NA
10,G1,NA
10,G2,NA
10,G3,NA
10,G4,NA
10,G5,NA
10,G6,NA
10,G7,NA
10,G8,NA
10,G9,NA
10,G10,NA
10,G11,NA
10,G12,NA
10,H1,NA
10,H2,NA
10,H3,NA
10,H4,NA
10,H5,NA
10,H6,NA
10,H7,NA
10,H8,NA
10,H9,NA
10,H10,NA
10,H11,NA
10,H12,NA
11,A1,164
11,A2,164
11,A3,164
11,A4,165
11,A5,165
11,A6,165
11,A7,175
11,A8,175
11,A9,175
11,A10,176
11,A11,176
11,A12,176
11,B1,NA
11,B2,NA
11,B3,NA
11,B4,NA
11,B5,NA
11,B6,NA
11,B7,NA
11,B8,NA
11,B9,NA
11,B10,NA
11,B11,NA
11,B12,NA
11,C1,NA
11,C2,NA
11,C3,NA
11,C4,NA
11,C5,NA
11,C6,NA
11,C7,NA
11,C8,NA
11,C9,NA
11,C10,NA
11,C11,NA
11,C12,NA
11,D1,NA
11,D2,NA
11,D3,NA
11,D4,NA
11,D5,NA
11,D6,NA
11,D7,NA
11,D8,NA
11,D9,NA
11,D10,NA
11,D11,NA
11,D12,NA
11,E1,NA
11,E2,NA
11,E3,NA
11,E4,NA
11,E5,NA
11,E6,NA
11,E7,NA
11,E8,NA
11,E9,NA
11,E10,NA
11,E11,NA
11,E12,NA
11,F1,NA
11,F2,NA
11,F3,NA
11,F4,NA
11,F5,NA
11,F6,NA
11,F7,NA
11,F8,NA
11,F9,NA
11,F10,NA
11,F11,NA
11,F12,NA
11,G1,NA
11,G2,NA
11,G3,NA
11,G4,NA
11,G5,NA
11,G6,NA
11,G7,NA
11,G8,NA
11,G9,NA
11,G10,NA
11,G11,NA
11,G12,NA
11,H1,NA
11,H2,NA
11,H3,NA
11,H4,NA
11,H5,NA
11,H6,NA
11,H7,NA
11,H8,NA
11,H9,NA
11,H10,NA
11,H11,NA
11,H12,NA
12,A1,177
12,A2,177
12,A3,177
12,A4,187
12,A5,187
12,A6,187
12,A7,188
12,A8,188
12,A9,188
12,A10,189
12,A11,189
12,A12,189
12,B1,NA
12,B2,NA
12,B3,NA
12,B4,NA
12,B5,NA
12,B6,NA
12,B7,NA
12,B8,NA
12,B9,NA
12,B10,NA
12,B11,NA
12,B12,NA
12,C1,NA
12,C2,NA
12,C3,NA
12,C4,NA
12,C5,NA
12,C6,NA
12,C7,NA
12,C8,NA
12,C9,NA
12,C10,NA
12,C11,NA
12,C12,NA
12,D1,NA
12,D2,NA
12,D3,NA
12,D4,NA
12,D5,NA
12,D6,NA
12,D7,NA
12,D8,NA
12,D9,NA
12,D10,NA
12,D11,NA
12,D12,NA
12,E1,NA
12,E2,NA
12,E3,NA
12,E4,NA
12,E5,NA
12,E6,NA
12,E7,NA
12,E8,NA
12,E9,NA
12,E10,NA
12,E11,NA
12,E12,NA
12,F1,NA
12,F2,NA
12,F3,NA
12,F4,NA
12,F5,NA
12,F6,NA
12,F7,NA
12,F8,NA
12,F9,NA
12,F10,NA
12,F11,NA
12,F12,NA
12,G1,NA
12,G2,NA
12,G3,NA
12,G4,NA
12,G5,NA
12,G6,NA
12,G7,NA
12,G8,NA
12,G9,NA
12,G10,NA
12,G11,NA
12,G12,NA
12,H1,NA
12,H2,NA
12,H3,NA
12,H4,NA
12,H5,NA
12,H6,NA
12,H7,NA
12,H8,NA
12,H9,NA
12,H10,NA
12,H11,NA
12,H12,NA
